Exchange,Token,Categories,Trading Pair,Market,Last Traded At,Bid/Ask Spread Percentage,Volume,Current Price (USD),Market Cap (USD),Total Volume (USD),"High (24h, USD)","Low (24h, USD)","Price Change (24h, USD)",Price Change Percentage (24h),Price Change Percentage (7d),Price Change Percentage (14d),Price Change Percentage (30d),Price Change Percentage (60d),Price Change Percentage (200d),Price Change Percentage (1y),Trading Volume (24h),Market Cap Change (24h),Market Cap Change Percentage (24h)
kucoin,DOGE,"Meme, GMCI Meme Index",USDT,KuCoin,2024-09-20T00:47:23+00:00,0.019146%,64663216.24047656,0.104574,15254747069,688875586,0.107092,0.103569,-0.000508109618297,-0.48353,1.78437,6.17739,1.4648,-25.44922,-32.05602,66.7898,688875586,-64243441.7712,-0.41937
kucoin,ICP,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T00:47:24+00:00,0.012438%,309217.74231412,8.04,3787188310,132956328,8.4,8.0,-0.34503367022918,-4.11701,-5.28385,11.10929,10.50861,-25.18213,-38.94587,165.03335,132956328,-150667160.82988,-3.82612
kucoin,SHIB,"Meme, GMCI Meme Index",USDT,KuCoin,2024-09-20T00:47:24+00:00,0.017137%,474503053516.22925,1.403e-05,8263837714,438586803,1.457e-05,1.377e-05,9.2238e-08,0.66182,3.72851,6.05567,2.74235,-23.16384,-37.73759,89.28042,438586803,61512491,0.74994
kucoin,NEAR,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T00:47:24+00:00,0.018571%,1810395.9527,4.31,4773152947,438357832,4.57,4.29,-0.24099615883004,-5.29631,1.33387,15.78879,7.64155,-32.05394,-2.58283,284.22613,438357832,-232654624.44239,-4.64769
kucoin,ONDO,"Real World Assets (RWA), RWA Protocol",USDT,KuCoin,2024-09-20T00:47:32+00:00,0.011547%,4373920.5863,0.644761,932748430,388726742,0.673334,0.628679,-0.000381132344584,-0.05908,1.39418,13.05886,-4.01592,-40.87564,28.47762,0.0,388726742,5903825,0.63698
kucoin,BRETT,Meme,USDT,KuCoin,2024-09-20T00:47:33+00:00,0.012324%,25416352.4,0.081248,804504164,36586115,0.085339,0.076868,0.00224821,2.84584,0.84641,19.56058,-9.11146,-44.13676,1755.16152,0.0,36586115,23192150,2.96836
kucoin,FET,"Artificial Intelligence (AI), AI Agents",USDT,KuCoin,2024-09-20T00:47:30+00:00,0.026792%,9116595.18036686,1.49,3754002125,548607497,1.57,1.46,0.00589901,0.39847,7.62615,37.60703,70.34328,-0.25944,-16.18179,535.73971,548607497,18159848,0.4861
kucoin,TAO,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T00:47:32+00:00,0.034329%,20352.9177,376.2,2795403319,199863258,384.55,336.88,30.64,8.86745,28.25942,57.74397,27.68375,7.31382,-40.02891,615.39773,199863258,242656775,9.50571
kucoin,PEPE,"Meme, GMCI Meme Index",USDT,KuCoin,2024-09-20T00:47:30+00:00,0.127226%,1470315625055.52,7.83e-06,3296216873,1713582279,8.32e-06,7.57e-06,1.3899e-07,1.80743,5.60948,10.11236,0.67915,-37.32731,33.10682,1120.36266,1713582279,61190207,1.89149
kucoin,TOKEN,"Artificial Intelligence (AI), Real World Assets (RWA)",USDT,KuCoin,2024-09-20T00:47:32+00:00,0.016496%,66599379.316,0.060493,99175437,18814206,0.061984,0.054234,0.00524547,9.49454,16.58263,28.23373,-22.12215,-25.47174,0.74678,0.0,18814206,8234262,9.05449
kucoin,NOT,Gaming (GameFi),USDT,KuCoin,2024-09-20T00:47:33+00:00,0.040003%,316135253.0,0.00768158,787584894,178180494,0.00798882,0.00765028,-5.239120882849e-05,-0.67742,-1.0891,2.20354,-27.78046,-52.15169,0.0,0.0,178180494,-4958640.415448,-0.62566
kucoin,WIF,"Meme, GMCI Meme Index",USDT,KuCoin,2024-09-20T00:47:32+00:00,0.045375%,3390848.40212528,1.74,1743419837,637821845,1.81,1.6,0.128576,7.96356,11.33191,14.11116,13.36904,-37.91478,7.28606,0.0,637821845,125541574,7.75964
kucoin,MYRO,"Meme, GMCI Meme Index",USDT,KuCoin,2024-09-20T00:47:32+00:00,0.037955%,14073619.5093,0.078018,78547388,16980255,0.081824,0.073551,0.00324883,4.34515,7.98955,20.62085,-0.8684,-52.14834,-55.22501,0.0,16980255,3533584,4.71058
kucoin,TURBO,Meme,USDT,KuCoin,2024-09-20T00:47:34+00:00,0.032331%,289753693.0,0.00605634,419371809,190221139,0.00658741,0.00499743,0.00080129,15.24798,65.83312,68.07251,47.7983,-17.11719,590.15591,8411.15461,190221139,56336361,15.51814
kucoin,APE,"Gaming (GameFi), Gaming Governance Token, Gaming Utility Token",USDT,KuCoin,2024-09-20T00:47:28+00:00,0.037831%,486637.83710832,0.786263,530791796,105478201,0.803543,0.771124,0.00375507,0.47988,5.24575,20.48398,29.58332,-9.20847,-64.67663,-31.05005,105478201,2889498,0.54735
kucoin,TRUF,Real World Assets (RWA),USDT,KuCoin,2024-09-20T00:39:26+00:00,0.013626%,403131.5,0.073103,12888400,125247,0.07487,0.071746,0.00011156,0.15285,0.45587,-9.5161,-24.48031,-61.66182,0.0,0.0,125247,74265,0.57956
kucoin,MKR,RWA Protocol,USDT,KuCoin,2024-09-20T00:47:22+00:00,0.033693%,181.7759,1505.77,1329698746,73175630,1579.45,1508.46,-17.98638753986,-1.1804,-7.23209,-7.34277,-21.72856,-48.31849,-28.31841,17.51175,73175630,-27633668.98244,-2.03588
kucoin,BOME,"Meme, GMCI Meme Index",USDT,KuCoin,2024-09-20T00:47:32+00:00,0.086195%,170574115.0,0.00682582,472474733,328566355,0.00736563,0.00629849,0.00045475,7.13765,8.77135,17.6425,-2.95439,-27.68868,0.0,0.0,328566355,30055978,6.79356
kucoin,PEOPLE,Meme,USDT,KuCoin,2024-09-20T00:47:27+00:00,0.047839%,16096227.7477,0.061212,311380931,230572649,0.065106,0.061513,-0.0015988730580692,-2.54555,6.12359,2.66903,8.37307,-29.23188,33.08533,548.74957,230572649,-7938615.365788,-2.4861
kucoin,SWEAT,"Gaming (GameFi), Gaming Governance Token, Gaming Utility Token",USDT,KuCoin,2024-09-20T00:47:30+00:00,0.014047%,1452298.108,0.0070851,58794645,3850338,0.00731986,0.00707371,-5.420901506987e-05,-0.7593,0.57657,-9.60156,1.24173,-9.35171,-40.2204,-2.07304,3850338,-757852.0177355,-1.27258
kucoin,GRT,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T00:47:23+00:00,0.026283%,4433802.0842,0.151182,1443928119,62564216,0.158344,0.1483,0.00227305,1.52647,4.32139,12.97845,5.62499,-31.13088,-52.05412,67.52659,62564216,15091910,1.05624
kucoin,BONK,"Meme, GMCI Meme Index",USDT,KuCoin,2024-09-20T00:47:31+00:00,0.073746%,59289170002.6507,1.736e-05,1205816310,184459135,1.824e-05,1.682e-05,3.69898e-07,2.17769,1.62055,10.76888,-4.03233,-45.67425,-34.44168,8426.4359,184459135,25786809,2.18527
kucoin,GALAX,Gaming (GameFi),USDT,KuCoin,2024-09-20T00:47:25+00:00,0.051653%,28050633.2944,0.01917885,747882671,116561438,0.02015802,0.01895031,2.178e-05,0.11372,5.85092,10.3325,8.03488,-27.33133,-57.19119,34.00926,116561438,1425136,0.19092
kucoin,AXS,"Gaming (GameFi), Metaverse, Gaming Governance Token, Gaming Utility Token",USDT,KuCoin,2024-09-20T00:47:25+00:00,0.020446%,25863.195,4.86,728506868,28298531,4.98,4.78,0.070977,1.48151,2.90673,9.3384,1.83172,-24.27758,-52.58429,6.39241,28298531,10629117,1.48063
