Exchange,Token,Categories,Trading Pair,Market,Last Traded At,Bid/Ask Spread Percentage,Volume,Current Price (USD),Market Cap (USD),Total Volume (USD),"High (24h, USD)","Low (24h, USD)","Price Change (24h, USD)",Price Change Percentage (24h),Price Change Percentage (7d),Price Change Percentage (14d),Price Change Percentage (30d),Price Change Percentage (60d),Price Change Percentage (200d),Price Change Percentage (1y),Trading Volume (24h),Market Cap Change (24h),Market Cap Change Percentage (24h)
bitfinex,SWEAT,"Gaming (GameFi), Gaming Governance Token, Gaming Utility Token",USDT,Bitfinex,2024-09-21T04:36:05+00:00,0.042614%,3557273.74889622,0.00703039,58422512,3781698,0.00734409,0.00700922,-0.00018937761143487,-2.62304,-1.51189,0.07785,3.62952,-8.04147,-44.34644,-5.68659,3781698,-1586876.2693866,-2.64438
bitfinex,NEAR,Artificial Intelligence (AI),USD,Bitfinex,2024-09-21T04:36:02+00:00,0.232775%,5519.77129625,4.29,4751754065,350653675,4.5,4.28,-0.13997336919576,-3.15829,1.11648,20.0565,1.67776,-28.70932,0.77495,276.3258,350653675,-137040721.72127,-2.80316
bitfinex,GRT,Artificial Intelligence (AI),USDT,Bitfinex,2024-09-21T04:36:04+00:00,0.187383%,97245.09443362,0.16003,1529526942,54993925,0.165168,0.156732,0.00087335,0.54874,5.85712,24.16278,6.90363,-23.07234,-46.7651,74.98481,54993925,20307228,1.34554
bitfinex,MKR,RWA Protocol,USD,Bitfinex,2024-09-21T04:36:01+00:00,0.269179%,47.68593765,1483.35,1309604996,108430349,1584.24,1483.77,-77.38803244078,-4.95842,-9.89656,-3.28341,-26.05255,-45.4618,-29.24041,9.91304,108430349,-60486183.50219,-4.41476
bitfinex,WIF,"Meme, GMCI Meme Index",USDT,Bitfinex,2024-09-21T04:35:20+00:00,0.179748%,7869.69404685,1.67,1671989843,523123849,1.9,1.67,-0.15546597937182,-8.49813,2.30317,12.45768,7.02643,-37.50812,5.28399,0.0,523123849,-135893551.65134,-7.51672
bitfinex,MEW,Meme,USDT,Bitfinex,2024-09-21T04:35:21+00:00,0.155642%,1011450.96854774,0.0051359,456530929,129549682,0.00581768,0.00513282,-0.00035891085225627,-6.53182,8.99144,30.62623,9.25625,-31.893,0.0,0.0,129549682,-30678973.216487,-6.29687
bitfinex,WIF,"Meme, GMCI Meme Index",USD,Bitfinex,2024-09-21T04:35:20+00:00,0.299401%,6875.7711584,1.67,1672116780,522518814,1.9,1.67,-0.15713894424117,-8.58202,2.29942,12.45356,7.02251,-37.51041,5.28013,0.0,522518814,-150074594.73442,-8.23594
bitfinex,SAND,"Gaming (GameFi), Metaverse, Gaming Utility Token",USD,Bitfinex,2024-09-21T04:36:03+00:00,0.331248%,24887.99947187,0.271173,633257145,47056310,0.275748,0.266181,-0.002478381929251,-0.90567,4.2543,15.45116,-0.2397,-18.81559,-60.30389,-10.47317,47056310,-7060982.566863,-1.10273
bitfinex,SWEAT,"Gaming (GameFi), Gaming Governance Token, Gaming Utility Token",USD,Bitfinex,2024-09-21T04:35:19+00:00,0.438348%,1897761.14827948,0.00703016,58427990,3774225,0.00734409,0.00700922,-0.00021773189285593,-3.00407,-1.51506,0.07463,3.62618,-8.04443,-44.34823,-5.68962,3774225,-1791551.2289312,-2.97503
bitfinex,MNA,Metaverse,USD,Bitfinex,2024-09-21T04:36:01+00:00,0.337154%,14318.6036384,0.29633,553114400,36275121,0.300488,0.291108,-0.00302709801633,-1.0112,5.94378,19.18569,5.40159,-14.72307,-54.94007,-1.846,36275121,-5180097.049514,-0.92784
bitfinex,FET,"Artificial Intelligence (AI), AI Agents",USD,Bitfinex,2024-09-21T04:36:01+00:00,0.442758%,68716.64161342,1.58,3972103308,410238583,1.64,1.57,-0.00099891053887,-0.06331,16.48566,49.54406,63.15883,14.33529,-7.09037,582.20007,410238583,-2585839.21918,-0.06506
bitfinex,BOSON,"Metaverse, Real World Assets (RWA)",USDT,Bitfinex,2024-09-21T04:37:06+00:00,0.34338%,17442.53843906,0.261909,34786767,702822,0.267357,0.255717,0.00619249,2.42162,5.16238,9.40128,-0.66011,-30.55258,-37.50995,66.1115,702822,1006859,2.98065
bitfinex,BOSON,"Metaverse, Real World Assets (RWA)",USD,Bitfinex,2024-09-21T04:37:05+00:00,0.343249%,27438.97510903,0.261909,34786767,702822,0.267357,0.255717,0.00619249,2.42162,5.16238,9.40128,-0.66011,-30.55258,-37.50995,66.1115,702822,1006859,2.98065
bitfinex,FET,"Artificial Intelligence (AI), AI Agents",USDT,Bitfinex,2024-09-21T04:36:03+00:00,0.822264%,26617.82275764,1.58,3972103308,410238583,1.64,1.57,-0.00099891053887,-0.06331,16.48566,49.54406,63.15883,14.33529,-7.09037,582.20007,410238583,-2585839.21918,-0.06506
bitfinex,TURBO,Meme,USDT,Bitfinex,2024-09-21T04:35:21+00:00,0.257776%,274386.4457591,0.00585659,403681259,124536270,0.00646135,0.0057395,-0.00044458280971013,-7.05556,33.14148,69.18059,43.30372,-9.98118,520.94163,7868.83709,124536270,-30256607.592907,-6.97257
bitfinex,UOS,Gaming (GameFi),BTC,Bitfinex,2024-09-21T04:30:03+00:00,0.719424%,38234.31726914,0.086707,33939040,782645,0.087964,0.085599,-0.0012568523899491,-1.42883,-1.57704,9.59973,-2.11254,-15.90533,-65.68383,-38.52237,782645,-343140.3501146,-1.00093
bitfinex,IDX,Real World Assets (RWA),USD,Bitfinex,2024-09-21T03:51:03+00:00,0.794668%,114361.85740323,0.04110119,4795696,39735,0.04198684,0.0371317,-0.0003601480670784,-0.86864,16.37501,0.28029,-20.29927,-47.47996,-53.70587,220.10826,39735,-43349.22258901,-0.89582
